ProductID,ProductName,Category,SubCategory,UnitCost,UnitPrice,SupplierID,Perishable,AvgDailyDemand_Est,DemandVariability_CV
PROD0001,Dairy Item 1,Grocery,Dairy,4.71,9.77,SUP005,Y,42.4,0.36
PROD0002,Camping Gear Item 2,Sports & Outdoors,Camping Gear,110.72,209.27,SUP016,N,13.74,0.19
PROD0003,Snacks Item 3,Grocery,Snacks,8.32,12.11,SUP012,Y,25.81,0.31
PROD0004,Headphones Item 4,Electronics,Headphones,84.63,129.54,SUP010,N,14.6,0.52
PROD0005,Headphones Item 5,Electronics,Headphones,52.46,131.49,SUP012,N,10.79,0.4
PROD0006,Canned Goods Item 6,Grocery,Canned Goods,7.7,10.61,SUP007,N,31.57,0.22
PROD0007,Canned Goods Item 7,Grocery,Canned Goods,2.37,4.64,SUP016,Y,41.3,0.29
PROD0008,Camping Gear Item 8,Sports & Outdoors,Camping Gear,76.29,128.45,SUP012,N,8.49,0.23
PROD0009,Footwear Item 9,Apparel,Footwear,31.9,43.93,SUP011,N,14.28,0.16
PROD0010,Camping Gear Item 10,Sports & Outdoors,Camping Gear,29.63,60.52,SUP018,N,15.26,0.52
PROD0011,Cameras Item 11,Electronics,Cameras,74.81,162.66,SUP014,N,16.18,0.33
PROD0012,Lighting Item 12,Home & Garden,Lighting,26.53,66.19,SUP016,N,13.97,0.27
PROD0013,Women's Dresses Item 13,Apparel,Women's Dresses,38.74,70.26,SUP001,N,14.08,0.39
PROD0014,Cycling Item 14,Sports & Outdoors,Cycling,54.4,138.24,SUP017,N,11.36,0.15
PROD0015,Outerwear Item 15,Apparel,Outerwear,21.1,53.17,SUP011,N,20.6,0.26
PROD0016,Laptops & Tablets Item 16,Electronics,Laptops & Tablets,105.89,274.3,SUP001,N,7.03,0.43
PROD0017,Camping Gear Item 17,Sports & Outdoors,Camping Gear,134.71,332.3,SUP015,N,17.07,0.4
PROD0018,Canned Goods Item 18,Grocery,Canned Goods,9.61,20.92,SUP007,Y,34.71,0.54
PROD0019,Cameras Item 19,Electronics,Cameras,71.02,179.04,SUP015,N,3.85,0.4
PROD0020,Men's Tops Item 20,Apparel,Men's Tops,55.04,84.85,SUP003,N,4.59,0.34
PROD0021,Smartphone Accessories Item 21,Electronics,Smartphone Accessories,194.66,310.59,SUP012,N,15.47,0.45
PROD0022,Accessories Item 22,Apparel,Accessories,63.34,125.16,SUP016,N,4.22,0.51
PROD0023,Smart Home Item 23,Electronics,Smart Home,64.39,97.54,SUP001,N,6.49,0.44
PROD0024,Lighting Item 24,Home & Garden,Lighting,95.09,210.89,SUP003,N,6.34,0.54
PROD0025,Canned Goods Item 25,Grocery,Canned Goods,9.94,22.31,SUP004,N,18.65,0.46
PROD0026,Laptops & Tablets Item 26,Electronics,Laptops & Tablets,205.37,379.31,SUP003,N,7.02,0.5
PROD0027,Men's Tops Item 27,Apparel,Men's Tops,45.11,114.78,SUP010,N,19.34,0.2
PROD0028,Accessories Item 28,Apparel,Accessories,7.47,15.27,SUP019,N,3.32,0.44
PROD0029,Bakery Item 29,Grocery,Bakery,2.97,5.57,SUP003,N,51.36,0.33
PROD0030,Snacks Item 30,Grocery,Snacks,9.95,19.25,SUP019,N,52.83,0.37
