PO_ID,ProductID,SupplierID,WarehouseID,OrderDate,ExpectedDeliveryDate,ActualDeliveryDate,QuantityOrdered,QuantityReceived,UnitCost,TotalCost,Status,DelayDays
PO000001,PROD0001,SUP005,WH02,06-01-2025,21-01-2025,28-01-2025,1588,1588,4.71,7479.48,Delivered,7
PO000002,PROD0001,SUP005,WH02,09-02-2025,24-02-2025,25-02-2025,1588,1588,4.71,7479.48,Delivered,1
PO000003,PROD0001,SUP005,WH02,17-03-2025,01-04-2025,02-04-2025,1588,1588,4.71,7479.48,Delivered,1
PO000004,PROD0001,SUP005,WH02,20-04-2025,05-05-2025,07-05-2025,1588,1588,4.71,7479.48,Delivered,2
PO000005,PROD0001,SUP005,WH02,25-05-2025,09-06-2025,10-06-2025,1588,1588,4.71,7479.48,Delivered,1
PO000006,PROD0001,SUP005,WH02,28-06-2025,13-07-2025,17-07-2025,1588,1588,4.71,7479.48,Delivered,4
PO000007,PROD0001,SUP005,WH02,04-08-2025,19-08-2025,21-08-2025,1588,1588,4.71,7479.48,Delivered,2
PO000008,PROD0001,SUP005,WH02,11-09-2025,26-09-2025,26-09-2025,1588,1588,4.71,7479.48,Delivered,0
PO000009,PROD0001,SUP005,WH02,17-10-2025,01-11-2025,02-11-2025,1588,1588,4.71,7479.48,Delivered,1
PO000010,PROD0001,SUP005,WH02,17-11-2025,02-12-2025,03-12-2025,1588,1588,4.71,7479.48,Delivered,1
PO000011,PROD0001,SUP005,WH02,14-12-2025,29-12-2025,06-01-2026,1588,1588,4.71,7479.48,Delivered,8
PO000012,PROD0001,SUP005,WH02,15-12-2025,30-12-2025,31-12-2025,1588,1588,4.71,7479.48,Delivered,1
PO000013,PROD0001,SUP005,WH01,08-01-2025,23-01-2025,25-01-2025,1468,1468,4.71,6914.28,Delivered,2
PO000014,PROD0001,SUP005,WH01,10-02-2025,25-02-2025,27-02-2025,1468,1468,4.71,6914.28,Delivered,2
PO000015,PROD0001,SUP005,WH01,19-03-2025,03-04-2025,12-04-2025,1468,1468,4.71,6914.28,Delivered,9
PO000016,PROD0001,SUP005,WH01,01-05-2025,16-05-2025,18-05-2025,1468,1468,4.71,6914.28,Delivered,2
PO000017,PROD0001,SUP005,WH01,06-06-2025,21-06-2025,21-06-2025,1468,1468,4.71,6914.28,Delivered,0
PO000018,PROD0001,SUP005,WH01,13-07-2025,28-07-2025,07-08-2025,1468,1468,4.71,6914.28,Delivered,10
PO000019,PROD0001,SUP005,WH01,26-08-2025,10-09-2025,12-09-2025,1468,1468,4.71,6914.28,Delivered,2
PO000020,PROD0001,SUP005,WH01,01-10-2025,16-10-2025,21-10-2025,1468,1468,4.71,6914.28,Delivered,5
PO000021,PROD0001,SUP005,WH01,08-11-2025,23-11-2025,25-11-2025,1468,1468,4.71,6914.28,Delivered,2
PO000022,PROD0001,SUP005,WH01,09-12-2025,24-12-2025,25-12-2025,1468,1468,4.71,6914.28,Delivered,1
PO000023,PROD0002,SUP016,WH03,05-01-2025,10-01-2025,10-01-2025,593,593,110.72,65656.96,Delivered,0
